brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,caliper_pistons,disc_type,caliper_type
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,Brake pads,Prime,P 06 097,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,,,,
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,Brake pads,Prime Ceramic,P06097N,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,,,,
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,Brake pads,Prime,P 06 092,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,Brake pads,Prime Ceramic,P06092N,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,Brake pads,Xtra,P 06 092X,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,Brake pads,Prime,P 06 090,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,Brake pads,Prime Ceramic,P06090N,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,UPGRADE GT kit,GT | M4 | D,1P1.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,UPGRADE GT kit,GT | M4 | TY1,1P2.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F55),09/13,>,Cooper S,07/14,>,141,192,UPGRADE GT kit,GT | M4 | TY3,1P3.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake discs,Prime,09.C349.11,294mm,22mm,45mm,,5,Ventilated,67mm,"20,4mm",,2,,,,,,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake discs,Xtra,09.C349.1X,294mm,22mm,45mm,,5,Ventilated,67mm,"20,4mm",,2,,,,,,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake discs,Prime,09.D179.21,335mm,30mm,45mm,,5,Ventilated,67mm,"28,4mm",,1,,,,,,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake discs,Prime,08.C745.11,259mm,10mm,51mm,,5,Solid,67mm,"8,4mm",,2,,,,,,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake pads,Prime,P 06 097,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake pads,Prime Ceramic,P06097N,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake pads,Prime,P 06 092,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake pads,Prime Ceramic,P06092N,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake pads,Xtra,P 06 092X,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake pads,Prime,P 06 090,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,Cooper S JCW,07/14,>,155,211,Brake pads,Prime Ceramic,P06090N,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake discs,Prime,09.C744.11,280mm,22mm,45mm,,5,Ventilated,67mm,"20,4mm",,2,,,,,,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake discs,Prime,09.D179.21,335mm,30mm,45mm,,5,Ventilated,67mm,"28,4mm",,1,,,,,,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake discs,Prime,08.C745.11,259mm,10mm,51mm,,5,Solid,67mm,"8,4mm",,2,,,,,,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake pads,Prime,P 06 097,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake pads,Prime Ceramic,P06097N,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake pads,Prime,P 06 034,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake pads,Prime Ceramic,P06034N,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake pads,Xtra,P 06 034X,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake pads,Prime,P 06 090,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F55),09/13,>,One,05/14,10/17,75,102,Brake pads,Prime Ceramic,P06090N,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake discs,Prime,09.C744.11,280mm,22mm,45mm,,5,Ventilated,67mm,"20,4mm",,2,,,,,,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake discs,Prime,09.D179.21,335mm,30mm,45mm,,5,Ventilated,67mm,"28,4mm",,1,,,,,,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake discs,Prime,08.C745.11,259mm,10mm,51mm,,5,Solid,67mm,"8,4mm",,2,,,,,,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime,P 06 097,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime Ceramic,P06097N,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime,P 06 034,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime Ceramic,P06034N,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Xtra,P 06 034X,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime,P 06 090,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime Ceramic,P06090N,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime,P 06 094,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Prime Ceramic,P06094N,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,Brake pads,Xtra,P 06 094X,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,UPGRADE GT kit,GT | M4 | D,1P1.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,UPGRADE GT kit,GT | M4 | TY1,1P2.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F56),12/13,>,Cooper,12/13,>,100,136,UPGRADE GT kit,GT | M4 | TY3,1P3.8005A_,345mm,28mm,,,,,,,,,,,,,,,4,2 pieces,Monoblock
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake discs,Prime,09.C744.11,280mm,22mm,45mm,,5,Ventilated,67mm,"20,4mm",,2,,,,,,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake discs,Prime,09.D179.21,335mm,30mm,45mm,,5,Ventilated,67mm,"28,4mm",,1,,,,,,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake discs,Prime,08.C745.11,259mm,10mm,51mm,,5,Solid,67mm,"8,4mm",,2,,,,,,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime,P 06 097,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime Ceramic,P06097N,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime,P 06 034,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime Ceramic,P06034N,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Xtra,P 06 034X,,18mm,54 - 65mm,132mm,,,,,,,Lucas,Prepared for wear indicator,"23915, 23916",D1308 8423,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime,P 06 090,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime Ceramic,P06090N,,17mm,45 - 38mm,100mm,,,,,,,TRW,Prepared for wear indicator,"25980, 25981",D1800 9032,With accessoriesWith anti-squeal shimWith brake caliper bolts,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime,P 06 094,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Prime Ceramic,P06094N,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,
MINI,MINI (F56),12/13,>,Cooper D,12/13,>,85,116,Brake pads,Xtra,P 06 094X,,16mm,46 - 48mm,123mm,,,,,,,Teves,Prepared for wear indicator,"25331, 25332",D1762 8993,With anti-squeal shim,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake discs,Prime,09.C349.11,294mm,22mm,45mm,,5,Ventilated,67mm,"20,4mm",,2,,,,,,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake discs,Xtra,09.C349.1X,294mm,22mm,45mm,,5,Ventilated,67mm,"20,4mm",,2,,,,,,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake discs,Prime,09.D179.21,335mm,30mm,45mm,,5,Ventilated,67mm,"28,4mm",,1,,,,,,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake discs,Prime,08.C745.11,259mm,10mm,51mm,,5,Solid,67mm,"8,4mm",,2,,,,,,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime,P 06 097,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime Ceramic,P06097N,,15mm,91mm,115mm,,,,,,,Brembo,Prepared for wear indicator,22344,"D1875 8991, D1875 9222",With accessoriesWith anti-squeal shim,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime,P 06 092,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
MINI,MINI (F56),12/13,>,Cooper S,12/13,>,141,192,Brake pads,Prime Ceramic,P06092N,,18mm,64 - 71mm,129mm,,,,,,,Lucas,Prepared for wear indicator,"22187, 22188",D1801 9033,With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
