brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
SAAB,900 I Combi Coupe,06/78,06/94,2.0 Turbo-16 S Cat,01/89,12/93,125,170,Brake pads,Prime,P 71 003,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,900 I Combi Coupe,06/78,06/94,2.0 Turbo-16 S Cat,01/89,12/93,125,170,Brake pads,Prime Ceramic,P71003N,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,900 I Combi Coupe,06/78,06/94,2.1 -16,09/90,07/93,100,136,Brake discs,Prime,09.5035.10,280mm,"23,4mm",44mm,,4,Ventilated,68mm,"21,5mm",120Nm,2,,,,,,
SAAB,900 I Combi Coupe,06/78,06/94,2.1 -16,09/90,07/93,100,136,Brake discs,Prime,08.5037.10,258mm,9mm,43mm,,4,Solid,68mm,"7,5mm",120Nm,2,,,,,,
SAAB,900 I Combi Coupe,06/78,06/94,2.1 -16,09/90,07/93,100,136,Brake pads,Prime,P 71 003,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,900 I Combi Coupe,06/78,06/94,2.1 -16,09/90,07/93,100,136,Brake pads,Prime Ceramic,P71003N,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,900 I Convertible,10/85,12/94,2.0,10/89,10/93,125,170,Brake discs,Prime,09.5035.10,280mm,"23,4mm",44mm,,4,Ventilated,68mm,"21,5mm",120Nm,2,,,,,,
SAAB,900 I Convertible,10/85,12/94,2.0,10/89,10/93,125,170,Brake discs,Prime,08.5037.10,258mm,9mm,43mm,,4,Solid,68mm,"7,5mm",120Nm,2,,,,,,
SAAB,900 I Convertible,10/85,12/94,2.0,10/89,10/93,125,170,Brake pads,Prime,P 71 003,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
SAAB,900 I Convertible,10/85,12/94,2.0,10/89,10/93,125,170,Brake pads,Prime Ceramic,P71003N,,15mm,38mm,125mm,,,,,,,Teves,Without,"21089, 21090",D322 7221,With accessoriesWith anti-squeal shimWith piston clip,
