brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,directional,length
CUPRA,TERRAMAR (KP1),11/24,>,1.5 eTSI,11/24,>,110,150,Brake pads,Xtra Ceramic,P85165NX,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 eTSI,11/24,>,110,150,Brake pads,Prime,P 85 184,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 eTSI,11/24,>,110,150,Brake pads,Prime Ceramic,P85184N,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,Wear indicator,11/24,>,110,150,Brake pad accessories,Prime,A 00 492,,,,,,,,,,,,,,,,,,170mm
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake discs,Prime,08.C501.11,300mm,12mm,48mm,,5,Solid,65mm,10mm,,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake discs,Max,08.C501.75,300mm,12mm,48mm,,5,Solid,65mm,10mm,,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake discs,Xtra,08.C501.1X,300mm,12mm,48mm,,5,Solid,65mm,10mm,,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake pads,Prime,P 85 165,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake pads,Prime Ceramic,P85165N,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake pads,Xtra,P 85 165X,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake pads,Xtra Ceramic,P85165NX,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake pads,Prime,P 85 184,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,1.5 TSI eHybrid,06/24,>,150,204,Brake pads,Prime Ceramic,P85184N,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,Wear indicator,06/24,>,150,204,Brake pad accessories,Prime,A 00 492,,,,,,,,,,,,,,,,,,170mm
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake discs,Prime,08.C501.11,300mm,12mm,48mm,,5,Solid,65mm,10mm,,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake discs,Max,08.C501.75,300mm,12mm,48mm,,5,Solid,65mm,10mm,,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake discs,Xtra,08.C501.1X,300mm,12mm,48mm,,5,Solid,65mm,10mm,,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake pads,Prime,P 85 165,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake pads,Prime Ceramic,P85165N,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake pads,Xtra,P 85 165X,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake pads,Xtra Ceramic,P85165NX,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake pads,Prime,P 85 184,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI 4Drive,01/25,>,150,204,Brake pads,Prime Ceramic,P85184N,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,Wear indicator,01/25,>,150,204,Brake pad accessories,Prime,A 00 492,,,,,,,,,,,,,,,,,,170mm
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake discs,Prime,09.A200.11,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake discs,Xtra,09.A200.1X,310mm,22mm,48mm,,5,Ventilated,65mm,20mm,120Nm,2,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake discs,Prime,09.C306.11,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake discs,Xtra,09.C306.1X,340mm,30mm,50mm,,5,Ventilated,65mm,27mm,,1,,,,,,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake pads,Prime,P 85 165,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake pads,Prime Ceramic,P85165N,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake pads,Xtra,P 85 165X,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake pads,Xtra Ceramic,P85165NX,,17mm,74mm,194mm,,,,,,,Akebono,Prepared for wear indicator,"25861, 25862","D1894 9122, D1894 9204",With accessoriesWith anti-squeal shim,,Yes,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake pads,Prime,P 85 184,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,2.0 TSI VZ 4Drive,11/24,>,195,265,Brake pads,Prime Ceramic,P85184N,,16mm,58 - 56mm,123mm,,,,,,,ATE,Without,"26206, 26207",,With accessoriesWith anti-squeal shim,,,
CUPRA,TERRAMAR (KP1),11/24,>,Wear indicator,11/24,>,195,265,Brake pad accessories,Prime,A 00 492,,,,,,,,,,,,,,,,,,170mm
