brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position,brake_disc_diameter,brake_disc_thickness,beyond_ev_disc,beyond_ev_pad
SKODA,FABIA II (542),12/06,12/14,1.4,01/07,12/14,63,86,Brake pads,Xtra,P 85 041X,,20mm,55mm,146mm,,,,,,,Teves,Without,"23130, 23131","D768 7635, D768 7860",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II (542),12/06,12/14,1.4,01/07,12/14,63,86,Brake pads,Prime,P 85 072,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II (542),12/06,12/14,1.4,01/07,12/14,63,86,Brake pads,Prime Ceramic,P85072N,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II (542),12/06,12/14,1.4,01/07,12/14,63,86,Brake pads,Xtra,P 85 072X,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II (542),12/06,12/14,1.4,01/07,12/14,63,86,Brake pads,Prime,P 85 020,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II (542),12/06,12/14,1.4,01/07,12/14,63,86,Brake pads,Prime Ceramic,P85020N,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II (542),12/06,12/14,1.4,01/07,12/14,63,86,Brake pads,Xtra,P 85 020X,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Prime,09.7011.11,256mm,22mm,37mm,,5,Ventilated,65mm,19mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Max,09.7011.75,256mm,22mm,37mm,,5,Ventilated,65mm,19mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Xtra,09.7011.1X,256mm,22mm,37mm,,5,Ventilated,65mm,19mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Prime,09.7010.21,288mm,25mm,34mm,,5,Ventilated,65mm,22mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Xtra,09.7010.2X,288mm,25mm,34mm,,5,Ventilated,65mm,22mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Prime,08.7165.11,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Max,08.7165.75,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Xtra,08.7165.1X,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Prime,P 85 075,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Prime Ceramic,P85075N,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Xtra,P 85 075X,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Prime,P 85 020,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Prime Ceramic,P85020N,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II (542),12/06,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Xtra,P 85 020X,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Prime,09.7011.11,256mm,22mm,37mm,,5,Ventilated,65mm,19mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Max,09.7011.75,256mm,22mm,37mm,,5,Ventilated,65mm,19mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Xtra,09.7011.1X,256mm,22mm,37mm,,5,Ventilated,65mm,19mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Prime,09.7010.21,288mm,25mm,34mm,,5,Ventilated,65mm,22mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Xtra,09.7010.2X,288mm,25mm,34mm,,5,Ventilated,65mm,22mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Prime,08.7165.11,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Max,08.7165.75,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake discs,Xtra,08.7165.1X,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime,P 85 041,,20mm,55mm,146mm,,,,,,,Teves,Without,"23130, 23131","D768 7635, D768 7860",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime Ceramic,P85041N,,20mm,55mm,146mm,,,,,,,Teves,Without,"23130, 23131","D768 7635, D768 7860",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Xtra,P 85 041X,,20mm,55mm,146mm,,,,,,,Teves,Without,"23130, 23131","D768 7635, D768 7860",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime,P 85 072,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime Ceramic,P85072N,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Xtra,P 85 072X,,20mm,55mm,146mm,,,,,,,Teves,Electric,"23130, 23131, 23187",D768 7709,With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime,P 85 075,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime Ceramic,P85075N,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Xtra,P 85 075X,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime,P 85 020,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Prime Ceramic,P85020N,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II Combi (545),10/07,12/14,1.2 TSI,03/10,12/14,77,105,Brake pads,Xtra,P 85 020X,,17mm,53mm,87mm,,,,,,,Lucas,Without,"20961, 23554","D1017 7920, D1023 7773, D1112 7773, D340 7335, D894 7773",With accessoriesWith anti-squeal shimWith brake caliper bolts,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Prime,09.7010.21,288mm,25mm,34mm,,5,Ventilated,65mm,22mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Xtra,09.7010.2X,288mm,25mm,34mm,,5,Ventilated,65mm,22mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Prime,08.7165.11,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Max,08.7165.75,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake discs,Xtra,08.7165.1X,230mm,9mm,40mm,,5,Solid,65mm,7mm,120Nm,2,,,,,,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Prime,P 85 075,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Prime Ceramic,P85075N,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
SKODA,FABIA II Combi (545),10/07,12/14,1.4 TSI RS,05/10,12/14,132,180,Brake pads,Xtra,P 85 075X,,20mm,66 - 71mm,155 - 157mm,,,,,,,Teves,Electric,"23587, 23588, 23589","D1107 8212, D1107 8760",With accessoriesWith anti-squeal shimWith piston clip,
