brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
CHRYSLER,SEBRING (JS),09/06,12/10,2.0 CRD,07/07,12/10,103,140,Brake pads,Prime Ceramic,P18027N,,16mm,55mm,145mm,,,,,,,Akebono,Without,,D866 8338,With anti-squeal shim,
CHRYSLER,SEBRING (JS),09/06,12/10,2.0 CRD,07/07,12/10,103,140,Brake pads,Prime,P 54 034,,15mm,35 - 40mm,85 - 106mm,,,,,,,Akebono,Acoustic,"24014, 24015",D1037 7940,With accessoriesWith anti-squeal shimWith piston clip,
CHRYSLER,SEBRING (JS),09/06,12/10,2.0 CRD,07/07,12/10,103,140,Brake pads,Prime Ceramic,P54034N,,15mm,35 - 40mm,85 - 106mm,,,,,,,Akebono,Acoustic,"24014, 24015",D1037 7940,With accessoriesWith anti-squeal shimWith piston clip,
CHRYSLER,SEBRING (JS),09/06,12/10,2.0 CRD,07/07,12/10,103,140,Brake pads,Prime,P 54 031,,16mm,45mm,91 - 111mm,,,,,,,Akebono,Acoustic,"23582, 23583","D1343 7743, D868 7743",With accessoriesWith anti-squeal shimWith piston clip,
CHRYSLER,SEBRING (JS),09/06,12/10,2.0 CRD,07/07,12/10,103,140,Brake pads,Prime Ceramic,P54031N,,16mm,45mm,91 - 111mm,,,,,,,Akebono,Acoustic,"23582, 23583","D1343 7743, D868 7743",With accessoriesWith anti-squeal shimWith piston clip,
CHRYSLER,SEBRING (JS),09/06,12/10,2.0 CRD,07/07,12/10,103,140,Brake pads,Xtra,P 54 031X,,16mm,45mm,91 - 111mm,,,,,,,Akebono,Acoustic,"23582, 23583","D1343 7743, D868 7743",With accessoriesWith anti-squeal shimWith piston clip,
CHRYSLER,SEBRING (JS),09/06,12/10,2.4 VVT,07/07,12/10,125,170,Brake discs,Prime,09.A637.11,294mm,26mm,46mm,,5,Ventilated,69mm,"24,4mm",129Nm,2,,,,,,
CHRYSLER,SEBRING (JS),09/06,12/10,2.4 VVT,07/07,12/10,125,170,Brake discs,Xtra,09.A637.1X,294mm,26mm,46mm,,5,Ventilated,69mm,"24,4mm",129Nm,2,,,,,,
CHRYSLER,SEBRING (JS),09/06,12/10,2.4 VVT,07/07,12/10,125,170,Brake discs,Prime,08.A114.31,262mm,10mm,60mm,,5,Solid,80mm,"8,4mm",129Nm,2,,,,,,
CHRYSLER,SEBRING (JS),09/06,12/10,2.4 VVT,07/07,12/10,125,170,Brake discs,Xtra,08.A114.3X,262mm,10mm,60mm,,5,Solid,80mm,"8,4mm",129Nm,2,,,,,,
