brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
SUZUKI,ALTO Hatchback Van (EC),01/86,10/93,0.8,01/86,10/93,29,39,Brake discs,Prime,08.5026.10,215mm,10mm,33mm,,4,Solid,86mm,8mm,98Nm,2,,,,,,
SUZUKI,ALTO II,09/84,12/88,0.8 (SB308/CA),01/86,12/88,29,39,Brake discs,Prime,08.5026.10,215mm,10mm,33mm,,4,Solid,86mm,8mm,98Nm,2,,,,,,
SUZUKI,"ALTO IV (EF, SH410_)",10/93,06/02,1.0 (SH410),09/94,06/02,39,53,Brake discs,Prime,09.5857.14,231mm,17mm,50mm,,4,Ventilated,64mm,15mm,85Nm,2,,,,,,
SUZUKI,"ALTO IV (EF, SH410_)",10/93,06/02,1.0 (SH410),09/94,06/02,39,53,Brake pads,Prime,P 79 005,,15mm,45mm,107mm,,,,,,,Sumitomo,Acoustic,"21333, 21334, 21335",D451 7331,With anti-squeal shim,
SUZUKI,"ALTO IV (EF, SH410_)",10/93,06/02,1.0 (SH410),09/94,06/02,39,53,Brake pads,Prime Ceramic,P79005N,,15mm,45mm,107mm,,,,,,,Sumitomo,Acoustic,"21333, 21334, 21335",D451 7331,With anti-squeal shim,
SUZUKI,"ALTO VII (GF, HA25_, HA35_)",01/09,>,"1.0 (AMF310, GFC31S)",01/09,>,50,68,Brake pads,Prime,P 79 012,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,"ALTO VII (GF, HA25_, HA35_)",01/09,>,"1.0 (AMF310, GFC31S)",01/09,>,50,68,Brake pads,Prime Ceramic,P79012N,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,ALTO VIII (HA36_),12/14,>,0.7 (HA36S),12/14,>,38,52,Brake pads,Prime,P 79 038,,15mm,42mm,108mm,,,,,,,,Acoustic,,,With anti-squeal shim,
SUZUKI,ALTO VIII (HA36_),12/14,>,0.7 (HA36S),12/14,>,38,52,Brake pads,Prime Ceramic,P79038N,,15mm,42mm,108mm,,,,,,,,Acoustic,,,With anti-squeal shim,
SUZUKI,BALENO (EG),03/95,12/09,1.6 i 16V (SY416),07/95,05/02,72,98,Brake discs,Prime,09.7279.10,235mm,20mm,50mm,,4,Ventilated,60mm,18mm,85Nm,2,,,,,,
SUZUKI,BALENO (EG),03/95,12/09,1.6 i 16V (SY416),07/95,05/02,72,98,Brake pads,Prime Ceramic,P79013N,,15mm,49mm,109mm,,,,,,,Akebono,Acoustic,"23795, 23796, 23797",,With anti-squeal shim,
SUZUKI,BALENO (EG),03/95,12/09,1.6 i 16V (SY416),07/95,05/02,72,98,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO (EG),03/95,12/09,1.6 i 16V (SY416),07/95,05/02,72,98,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO (EG),03/95,12/09,1.8 GTX (SY418),03/96,05/02,89,121,Brake discs,Prime,09.9350.10,246mm,20mm,50mm,,4,Ventilated,60mm,18mm,85Nm,2,,,,,,
SUZUKI,BALENO (EG),03/95,12/09,1.8 GTX (SY418),03/96,05/02,89,121,Brake pads,Prime Ceramic,P79013N,,15mm,49mm,109mm,,,,,,,Akebono,Acoustic,"23795, 23796, 23797",,With anti-squeal shim,
SUZUKI,BALENO (EG),03/95,12/09,1.8 GTX (SY418),03/96,05/02,89,121,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO (EG),03/95,12/09,1.8 GTX (SY418),03/96,05/02,89,121,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.0 (A1K310),02/16,>,82,111,Brake discs,Prime,09.D247.11,252mm,20mm,40mm,,4,Ventilated,60mm,18mm,,2,,,,,,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.0 (A1K310),02/16,>,82,111,Brake discs,Prime,08.D248.11,228mm,9mm,34mm,,4,Solid,62mm,8mm,,2,,,,,,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.0 (A1K310),02/16,>,82,111,Brake pads,Prime,P 16 013,,17mm,52mm,126mm,,,,,,,Lucas,Acoustic,"24283, 24284, 24285",D1454 8948,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.0 (A1K310),02/16,>,82,111,Brake pads,Prime Ceramic,P16013N,,17mm,52mm,126mm,,,,,,,Lucas,Acoustic,"24283, 24284, 24285",D1454 8948,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.0 (A1K310),02/16,>,82,111,Brake pads,Xtra,P 16 013X,,17mm,52mm,126mm,,,,,,,Lucas,Acoustic,"24283, 24284, 24285",D1454 8948,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.0 (A1K310),02/16,>,82,111,Brake pads,Prime,P 79 029,,14mm,40mm,99mm,,,,,,,Akebono,Acoustic,"25258, 25259, 25260",D2007 9237,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.0 (A1K310),02/16,>,82,111,Brake pads,Prime Ceramic,P79029N,,14mm,40mm,99mm,,,,,,,Akebono,Acoustic,"25258, 25259, 25260",D2007 9237,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake discs,Prime,09.D247.11,252mm,20mm,40mm,,4,Ventilated,60mm,18mm,,2,,,,,,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake discs,Prime,08.D248.11,228mm,9mm,34mm,,4,Solid,62mm,8mm,,2,,,,,,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Prime,P 86 028,,17mm,63mm,155mm,,,,,,,Teves,Prepared for wear indicator,"22098, 22099",D1924 9149,With accessoriesWith anti-squeal shimWith piston clip,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Prime Ceramic,P86028N,,17mm,63mm,155mm,,,,,,,Teves,Prepared for wear indicator,"22098, 22099",D1924 9149,With accessoriesWith anti-squeal shimWith piston clip,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Xtra Ceramic,P86028NX,,17mm,63mm,155mm,,,,,,,Teves,Prepared for wear indicator,"22098, 22099",D1924 9149,With accessoriesWith anti-squeal shimWith piston clip,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Prime,P 16 013,,17mm,52mm,126mm,,,,,,,Lucas,Acoustic,"24283, 24284, 24285",D1454 8948,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Prime Ceramic,P16013N,,17mm,52mm,126mm,,,,,,,Lucas,Acoustic,"24283, 24284, 24285",D1454 8948,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Xtra,P 16 013X,,17mm,52mm,126mm,,,,,,,Lucas,Acoustic,"24283, 24284, 24285",D1454 8948,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Prime,P 79 029,,14mm,40mm,99mm,,,,,,,Akebono,Acoustic,"25258, 25259, 25260",D2007 9237,With accessoriesWith anti-squeal shim,
SUZUKI,"BALENO (FW, EW)",02/16,>,1.4,06/16,>,68,92,Brake pads,Prime Ceramic,P79029N,,14mm,40mm,99mm,,,,,,,Akebono,Acoustic,"25258, 25259, 25260",D2007 9237,With accessoriesWith anti-squeal shim,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.6 i 16V (SY416),08/96,05/02,72,98,Brake discs,Prime,09.7279.10,235mm,20mm,50mm,,4,Ventilated,60mm,18mm,85Nm,2,,,,,,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.6 i 16V (SY416),08/96,05/02,72,98,Brake pads,Prime Ceramic,P79013N,,15mm,49mm,109mm,,,,,,,Akebono,Acoustic,"23795, 23796, 23797",,With anti-squeal shim,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.6 i 16V (SY416),08/96,05/02,72,98,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.6 i 16V (SY416),08/96,05/02,72,98,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.8 i 16V (SY418),08/96,05/02,89,121,Brake discs,Prime,09.9350.10,246mm,20mm,50mm,,4,Ventilated,60mm,18mm,85Nm,2,,,,,,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.8 i 16V (SY418),08/96,05/02,89,121,Brake pads,Prime Ceramic,P79013N,,15mm,49mm,109mm,,,,,,,Akebono,Acoustic,"23795, 23796, 23797",,With anti-squeal shim,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.8 i 16V (SY418),08/96,05/02,89,121,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO Estate (EG),04/95,04/05,1.8 i 16V (SY418),08/96,05/02,89,121,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.6 i 16V (SY416),07/95,05/02,72,98,Brake discs,Prime,09.7279.10,235mm,20mm,50mm,,4,Ventilated,60mm,18mm,85Nm,2,,,,,,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.6 i 16V (SY416),07/95,05/02,72,98,Brake pads,Prime Ceramic,P79013N,,15mm,49mm,109mm,,,,,,,Akebono,Acoustic,"23795, 23796, 23797",,With anti-squeal shim,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.6 i 16V (SY416),07/95,05/02,72,98,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.6 i 16V (SY416),07/95,05/02,72,98,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.8 GTX (SY418),03/96,05/02,89,121,Brake discs,Prime,09.9350.10,246mm,20mm,50mm,,4,Ventilated,60mm,18mm,85Nm,2,,,,,,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.8 GTX (SY418),03/96,05/02,89,121,Brake pads,Prime Ceramic,P79013N,,15mm,49mm,109mm,,,,,,,Akebono,Acoustic,"23795, 23796, 23797",,With anti-squeal shim,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.8 GTX (SY418),03/96,05/02,89,121,Brake pads,Prime,P 49 015,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,BALENO Hatchback (EG),03/95,05/02,1.8 GTX (SY418),03/96,05/02,89,121,Brake pads,Prime Ceramic,P49015N,,13mm,39mm,102mm,,,,,,,Akebono,Without,21559,D458 7338,With anti-squeal shim,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA11)",02/92,08/95,47,64,Brake discs,Prime,09.5857.14,231mm,17mm,50mm,,4,Ventilated,64mm,15mm,85Nm,2,,,,,,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA11)",02/92,08/95,47,64,Brake discs,Prime,08.D173.11,232mm,10mm,49mm,,4,Solid,64mm,8mm,,2,,,,,,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA11)",02/92,08/95,47,64,Brake pads,Prime,P 79 005,,15mm,45mm,107mm,,,,,,,Sumitomo,Acoustic,"21333, 21334, 21335",D451 7331,With anti-squeal shim,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA11)",02/92,08/95,47,64,Brake pads,Prime Ceramic,P79005N,,15mm,45mm,107mm,,,,,,,Sumitomo,Acoustic,"21333, 21334, 21335",D451 7331,With anti-squeal shim,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA21)",08/95,08/98,47,64,Brake discs,Prime,09.5857.14,231mm,17mm,50mm,,4,Ventilated,64mm,15mm,85Nm,2,,,,,,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA21)",08/95,08/98,47,64,Brake discs,Prime,08.D173.11,232mm,10mm,49mm,,4,Solid,64mm,8mm,,2,,,,,,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA21)",08/95,08/98,47,64,Brake pads,Prime,P 79 005,,15mm,45mm,107mm,,,,,,,Sumitomo,Acoustic,"21333, 21334, 21335",D451 7331,With anti-squeal shim,
SUZUKI,CAPPUCCINO (EE),02/92,08/98,"0.7 (SX306, EA21)",08/95,08/98,47,64,Brake pads,Prime Ceramic,P79005N,,15mm,45mm,107mm,,,,,,,Sumitomo,Acoustic,"21333, 21334, 21335",D451 7331,With anti-squeal shim,
SUZUKI,CARRY Platform/Chassis,07/85,>,1.0 (DA21T),07/85,12/90,33,45,Brake discs,Prime,08.5026.10,215mm,10mm,33mm,,4,Solid,86mm,8mm,98Nm,2,,,,,,
SUZUKI,"CARRY Platform/Chassis (FD, DA5_T, DA6_T)",02/99,>,0.7 (DA52T),02/99,09/04,47,64,Brake discs,Prime,08.D164.11,215mm,12mm,44mm,,4,Solid,60mm,10mm,,2,,,,,,
SUZUKI,"CARRY Platform/Chassis (FD, DA5_T, DA6_T)",02/99,>,0.7 (DA52T),02/99,09/04,47,64,Brake pads,Prime,P 56 127,,15mm,42mm,108mm,,,,,,,,Acoustic,,,With anti-squeal shim,
SUZUKI,"CARRY Platform/Chassis (FD, DA5_T, DA6_T)",02/99,>,0.7 (DA52T),02/99,09/04,47,64,Brake pads,Prime Ceramic,P56127N,,15mm,42mm,108mm,,,,,,,,Acoustic,,,With anti-squeal shim,
SUZUKI,"CARRY Platform/Chassis (FD, DA5_T, DA6_T)",02/99,>,1.3 4x4 (DA32T),10/00,07/05,58,79,Brake discs,Prime,09.D169.11,231mm,17mm,44mm,,4,Ventilated,60mm,15mm,,2,,,,,,
SUZUKI,"CARRY Platform/Chassis (FD, DA5_T, DA6_T)",02/99,>,1.3 4x4 (DA32T),10/00,07/05,58,79,Brake pads,Prime,P 79 012,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,"CARRY Platform/Chassis (FD, DA5_T, DA6_T)",02/99,>,1.3 4x4 (DA32T),10/00,07/05,58,79,Brake pads,Prime Ceramic,P79012N,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,CARRY Van (0S),10/79,10/85,0.8 (ST90),11/80,10/85,27,37,Brake discs,Prime,08.5026.10,215mm,10mm,33mm,,4,Solid,86mm,8mm,98Nm,2,,,,,,
SUZUKI,CARRY Van (FD),02/99,>,1.3 16 V (DA32V),03/00,>,58,79,Brake discs,Prime,09.D169.11,231mm,17mm,44mm,,4,Ventilated,60mm,15mm,,2,,,,,,
SUZUKI,CARRY Van (FD),02/99,>,1.3 16 V (DA32V),03/00,>,58,79,Brake pads,Prime,P 79 012,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,CARRY Van (FD),02/99,>,1.3 16 V (DA32V),03/00,>,58,79,Brake pads,Prime Ceramic,P79012N,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,CELERIO (LF),02/14,>,1.0 (AVK310),03/14,>,50,68,Brake discs,Prime,09.C935.11,231mm,20mm,49mm,,4,Ventilated,60mm,18mm,,2,,,,,,
SUZUKI,CELERIO (LF),02/14,>,1.0 (AVK310),03/14,>,50,68,Brake pads,Prime,P 61 108,,15mm,42mm,108mm,,,,,,,Sumitomo,Acoustic,"24423, 25230, 25231",D1658 8344,With anti-squeal shim,
SUZUKI,CELERIO (LF),02/14,>,1.0 (AVK310),03/14,>,50,68,Brake pads,Prime Ceramic,P61108N,,15mm,42mm,108mm,,,,,,,Sumitomo,Acoustic,"24423, 25230, 25231",D1658 8344,With anti-squeal shim,
SUZUKI,CELERIO (LF),02/14,>,1.0 (AVK310),03/14,>,50,68,Brake pads,Prime,P 79 012,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,CELERIO (LF),02/14,>,1.0 (AVK310),03/14,>,50,68,Brake pads,Prime Ceramic,P79012N,,15mm,45mm,109mm,,,,,,,Sumitomo,Acoustic,"23507, 23508, 23509","D2005 9235, D2005 9304",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake discs,Prime,09.9142.11,287mm,17mm,29mm,,5,Ventilated,108mm,15mm,95Nm,2,,,,,,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake discs,Prime,09.9727.14,310mm,22mm,29mm,,5,Ventilated,108mm,20mm,95Nm,2,,,,,,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime,P 79 009,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime Ceramic,P79009N,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime,P 79 008,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime Ceramic,P79008N,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.0 4x4 (TA52, TL52, SQ420)",03/98,07/03,94,128,Brake discs,Prime,09.9142.11,287mm,17mm,29mm,,5,Ventilated,108mm,15mm,95Nm,2,,,,,,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.0 4x4 (TA52, TL52, SQ420)",03/98,07/03,94,128,Brake discs,Prime,09.9727.14,310mm,22mm,29mm,,5,Ventilated,108mm,20mm,95Nm,2,,,,,,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.0 4x4 (TA52, TL52, SQ420)",03/98,07/03,94,128,Brake pads,Prime,P 79 009,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.0 4x4 (TA52, TL52, SQ420)",03/98,07/03,94,128,Brake pads,Prime Ceramic,P79009N,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.0 4x4 (TA52, TL52, SQ420)",03/98,07/03,94,128,Brake pads,Prime,P 79 008,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.0 4x4 (TA52, TL52, SQ420)",03/98,07/03,94,128,Brake pads,Prime Ceramic,P79008N,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,2.5 V6 24V 4x4 (SQ625),04/01,07/03,116,158,Brake discs,Prime,09.9727.14,310mm,22mm,29mm,,5,Ventilated,108mm,20mm,95Nm,2,,,,,,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,2.5 V6 24V 4x4 (SQ625),04/01,07/03,116,158,Brake pads,Prime,P 79 009,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,2.5 V6 24V 4x4 (SQ625),04/01,07/03,116,158,Brake pads,Prime Ceramic,P79009N,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,2.5 V6 24V 4x4 (SQ625),04/01,07/03,116,158,Brake pads,Prime,P 79 008,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,2.5 V6 24V 4x4 (SQ625),04/01,07/03,116,158,Brake pads,Prime Ceramic,P79008N,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.5 V6 24V 4x4 (TD62, SQ625)",04/98,07/03,106,144,Brake discs,Prime,09.9727.14,310mm,22mm,29mm,,5,Ventilated,108mm,20mm,95Nm,2,,,,,,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.5 V6 24V 4x4 (TD62, SQ625)",04/98,07/03,106,144,Brake pads,Prime,P 79 009,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.5 V6 24V 4x4 (TD62, SQ625)",04/98,07/03,106,144,Brake pads,Prime Ceramic,P79009N,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.5 V6 24V 4x4 (TD62, SQ625)",04/98,07/03,106,144,Brake pads,Prime,P 79 008,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.5 V6 24V 4x4 (TD62, SQ625)",04/98,07/03,106,144,Brake pads,Prime Ceramic,P79008N,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.7 4x4 (TX92, JA627)",04/03,07/03,135,184,Brake discs,Prime,09.9727.14,310mm,22mm,29mm,,5,Ventilated,108mm,20mm,95Nm,2,,,,,,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.7 4x4 (TX92, JA627)",04/03,07/03,135,184,Brake pads,Prime,P 79 009,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.7 4x4 (TX92, JA627)",04/03,07/03,135,184,Brake pads,Prime Ceramic,P79009N,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.7 4x4 (TX92, JA627)",04/03,07/03,135,184,Brake pads,Prime,P 79 008,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.7 4x4 (TX92, JA627)",04/03,07/03,135,184,Brake pads,Prime Ceramic,P79008N,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.7 4x4 (TX92, JA627)",04/03,07/03,135,184,Brake pads,Prime,P 79 018,,17mm,55mm,138mm,,,,,,,Tokico,Acoustic,24346,D1188 8307,With anti-squeal shim,
SUZUKI,"GRAND VITARA I (FT, HT)",03/98,08/08,"2.7 4x4 (TX92, JA627)",04/03,07/03,135,184,Brake pads,Prime Ceramic,P79018N,,17mm,55mm,138mm,,,,,,,Tokico,Acoustic,24346,D1188 8307,With anti-squeal shim,
SUZUKI,GRAND VITARA I Open Off-Road Vehicle (GT),03/98,09/05,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake discs,Prime,09.9142.11,287mm,17mm,29mm,,5,Ventilated,108mm,15mm,95Nm,2,,,,,,
SUZUKI,GRAND VITARA I Open Off-Road Vehicle (GT),03/98,09/05,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake discs,Prime,09.9727.14,310mm,22mm,29mm,,5,Ventilated,108mm,20mm,95Nm,2,,,,,,
SUZUKI,GRAND VITARA I Open Off-Road Vehicle (GT),03/98,09/05,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime,P 79 009,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,GRAND VITARA I Open Off-Road Vehicle (GT),03/98,09/05,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime Ceramic,P79009N,,15mm,55mm,110mm,,,,,,,Sumitomo,Acoustic,23314,D680 7559,With accessoriesWith anti-squeal shim,
SUZUKI,GRAND VITARA I Open Off-Road Vehicle (GT),03/98,09/05,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime,P 79 008,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
SUZUKI,GRAND VITARA I Open Off-Road Vehicle (GT),03/98,09/05,1.6 4x4 (SQ416),03/98,07/03,69,94,Brake pads,Prime Ceramic,P79008N,,15mm,46mm,117mm,,,,,,,Akebono,Acoustic,"21907, 21908, 21909","D556 7435, D807 7680",With anti-squeal shim,
