brand,model,model_date_start,model_date_end,type,type_date_start,type_date_end,kw,cv,category,product_line,part_number,diameter,thickness,height,width,number_of_holes,brake_disc_type,centering,min_thickness,tightening_torque,units_per_box,braking_system,wear_indicator,wva_number,fmsi,accessories,position
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.0 TDCi 4WD,09/17,>,186,253,UPGRADE GT kit,GT | BM8 | D,1Q1.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.0 TDCi 4WD,09/17,>,186,253,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,Brake discs,Prime,09.C274.11,350mm,34mm,50mm,,6,Ventilated,90mm,32mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,Brake discs,Prime,09.E292.11,336mm,22mm,45mm,,6,Ventilated,90mm,20mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,Brake discs,Prime,09.D274.21,348mm,25mm,80mm,,6,Ventilated,90mm,23mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,Brake pads,Prime,P 24 258,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,Brake pads,Prime Ceramic,P24258N,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,Brake pads,Prime Ceramic,P24166N,,19mm,68 - 70mm,194mm,,,,,,,,Without,,"D1414 8528, D1770 8528, D2087 9322",With accessoriesWith anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,Brake pads,Prime Ceramic,P24200N,,18mm,52mm,149mm,,,,,,,,Without,22100,"D1790 9018, D1790 9350",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,UPGRADE GT kit,GT | A6 | D,1J1.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,UPGRADE GT kit,GT | A6 | TY1,1J2.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,UPGRADE GT kit,GT | A6 | TY3,1J3.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,UPGRADE GT kit,GT | BM8 | D,1Q1.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/14,>,272,370,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,Brake discs,Prime,09.C274.11,350mm,34mm,50mm,,6,Ventilated,90mm,32mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,Brake discs,Prime,09.E293.11,336mm,24mm,45mm,,6,Ventilated,90mm,"22,5mm",,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,Brake discs,Prime,09.D274.21,348mm,25mm,80mm,,6,Ventilated,90mm,23mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,Brake pads,Prime,P 24 258,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,Brake pads,Prime Ceramic,P24258N,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,Brake pads,Prime Ceramic,P24166N,,19mm,68 - 70mm,194mm,,,,,,,,Without,,"D1414 8528, D1770 8528, D2087 9322",With accessoriesWith anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,Brake pads,Prime Ceramic,P24200N,,18mm,52mm,149mm,,,,,,,,Without,22100,"D1790 9018, D1790 9350",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,UPGRADE GT kit,GT | A6 | D,1J1.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,UPGRADE GT kit,GT | A6 | TY1,1J2.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,UPGRADE GT kit,GT | A6 | TY3,1J3.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,UPGRADE GT kit,GT | BM8 | D,1Q1.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,11/16,>,280,381,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake discs,Prime,09.C274.11,350mm,34mm,50mm,,6,Ventilated,90mm,32mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake discs,Prime,09.E292.11,336mm,22mm,45mm,,6,Ventilated,90mm,20mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake discs,Prime,09.D274.21,348mm,25mm,80mm,,6,Ventilated,90mm,23mm,,1,,,,,,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake pads,Prime,P 24 258,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake pads,Prime Ceramic,P24258N,,19mm,68mm,194mm,,,,,,,,Without,22050,,With anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake pads,Prime Ceramic,P24166N,,19mm,68 - 70mm,194mm,,,,,,,,Without,,"D1414 8528, D1770 8528, D2087 9322",With accessoriesWith anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake pads,Prime Ceramic,P24168N,,17mm,55mm,149mm,,,,,,,,Without,,D1602 8816,With accessoriesWith anti-squeal shim,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,Brake pads,Prime Ceramic,P24200N,,18mm,52mm,149mm,,,,,,,,Without,22100,"D1790 9018, D1790 9350",With accessoriesWith anti-squeal shimWith brake caliper bolts,,,,
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,UPGRADE GT kit,GT | A6 | D,1J1.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,UPGRADE GT kit,GT | A6 | TY1,1J2.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,UPGRADE GT kit,GT | A6 | TY3,1J3.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,UPGRADE GT kit,GT | BM8 | D,1Q1.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 4WD,09/17,>,336,457,UPGRADE GT kit,GT | BM8 | TY1,1Q2.9605A_,412mm,38mm,,,,,,,,,,,,,,,8,2 pieces,BM monoblock
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 Ecoboost 4WD,01/17,>,287,390,UPGRADE GT kit,GT | A6 | D,1J1.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
FORD USA,F-150 Crew Cab Pickup,09/14,>,3.5 Ecoboost 4WD,01/17,>,287,390,UPGRADE GT kit,GT | A6 | TY1,1J2.9015A_,380mm,34mm,,,,,,,,,,,,,,,6,2 pieces,2 pieces
